name,exchange_appearance_date,current_price,max_price,market_capitalization,volatility
Bitcoin,2009-01-03,46000,65000,800000000000,0.05
Ethereum,2015-07-30,3200,4500,350000000000,0.08
Binance Coin,2017-07-25,420,700,70000000000,0.1
Solana,2020-03-20,180,250,15000000000,0.15
Cardano,2017-09-29,150,300,50000000000,0.12
XRP,2012-08-04,100,300,40000000000,0.2
Polkadot,2020-05-26,200,500,10000000000,0.18
Avalanche,2020-09-21,120,200,5000000000,0.25
Dogecoin,2013-12-06,50,100,25000000000,0.3
Tether,2015-02-25,100,100,75000000000,0.01
